100
1,47,-8,0.24
4,-98,29,0.125
1,30,50,0.273
2,97,-59,0.523
2,40,-71,0.974
3,34,6,0.713
1,-15,79,0.169
1,89,68,0.41
1,50,7,0.721
2,-53,-84,0.219
1,99,-63,0.827
1,-38,75,0.507
2,-4,34,0.636
1,-97,61,0.856
2,86,32,0.34
4,46,-74,0.547
2,42,-37,0.555
1,58,11,0.657
2,-56,83,0.441
2,-24,3,0.97
3,-34,66,0.59
1,-96,15,0.756
4,-92,90,0.38
2,84,57,0.58
4,21,-95,0.372
4,-12,71,0.453
1,62,-85,0.553
3,-60,21,0.004
4,15,94,0.249
2,-88,24,0.162
2,-99,88,0.862
3,84,-37,0.095
3,88,-66,0.905
2,33,85,0.499
4,-86,-92,0.993
3,16,-24,0.149
2,19,90,0.389
4,40,-56,0.803
1,48,-46,0.806
2,75,-26,0.978
4,-69,-53,0.158
3,1,95,0.29
4,65,-20,0.911
1,-31,47,0.872
3,22,48,0.499
1,80,3,0.119
1,-75,-85,0.82
3,32,-17,0.505
3,-80,38,0.68
2,-55,60,0.809
4,31,21,0.412
4,72,58,0.823
1,50,-51,0.213
2,-25,-78,0.776
3,38,82,0.51
3,10,-88,0.947
2,-75,67,0.992
2,-62,-79,0.313
2,7,29,0.134
1,19,81,0.405
2,-80,65,0.457
3,-22,-20,0.85
4,-40,2,0.276
1,61,12,0.718
4,-83,-84,0.934
1,78,-12,0.965
2,42,-58,0.375
2,-17,80,0.95
4,86,-99,0.286
3,-2,-33,0.84
3,-5,-51,0.772
3,-77,-13,0.523
1,-16,26,0.867
1,-76,-87,0.957
1,34,-23,0.521
2,71,-88,0.185
3,-22,-14,0.767
4,82,98,0.912
3,-27,87,0.69
3,-1,-51,0.58
3,-30,9,0.487
3,-68,71,0.745
3,4,-15,0.407
3,-67,75,0.728
4,68,-77,0.631
2,-93,-24,0.902
3,30,17,0.22
1,90,-41,0.742
3,59,35,0.238
4,89,20,0.542
4,44,-1,0.005
1,92,-27,0.071
2,8,-30,0.87
4,93,-16,0.616
1,-31,-65,0.492
1,-73,-72,0.271
1,-65,0,0.168
2,43,71,0.02
4,16,81,0.256
1,-38,64,0.868
8097
